Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
PPHJASKU,journalArticle,2024,"Perez Santangelo, Agustín; Solovey, Guillermo",Author Correction: Understanding belief in political statements using a model-driven experimental approach: a registered report,Scientific Reports,,2045-2322,10.1038/s41598-024-52467-9,https://www.nature.com/articles/s41598-024-52467-9,,2024-01-23,2024-04-06 02:29:39,2024-04-06T02:29:39Z,2024-04-05 15:55:57,2012,,1,14,,Sci Rep,Author Correction,,,,,,,en,2024 The Author(s),,,,www.nature.com,,Publisher: Nature Publishing Group Citation Key: PerezSantangelo-2024,,,,,Humanities and Social Sciences; Science; multidisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBN6IR8R,webpage,,,,,,,,https://rr.peercommunityin.org/stream_pdf/t_recommendations.track_change.8bbe6ef9aae1b119.41727269676f6e6920657420616c5f4d312d5041532052525f5374616765315f524556322e706466.pdf,,,2024-04-06 02:29:33,2024-04-06T02:29:33Z,2024-04-05 15:58:17,,,,,,,,,,,,,,,,,,,,,Citation Key: -am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGM4KFK,webpage,,,,,,,,https://rr.peercommunityin.org/PCIRegisteredReports/stream_pdf/t_recommendations.track_change.bfe4fc700ca2e239.52525f53616c69656e637920537461676520492076332e706466.pdf,,,2024-04-06 02:29:32,2024-04-06T02:29:32Z,2024-04-05 15:59:18,,,,,,,,,,,,,,,,,,,,,Citation Key: -al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSYCQ27F,webpage,,,,,,,,https://rr.peercommunityin.org/PCIRegisteredReports/stream_pdf/t_recommendations.track_change.bfe4fc700ca2e239.52525f53616c69656e637920537461676520492076332e706466.pdf,,,2024-04-06 02:29:32,2024-04-06T02:29:32Z,2024-04-05 16:11:19,,,,,,,,,,,,,,,,,,,,,Citation Key: -ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3GMT3B5,webpage,,,,,,,,https://d1wqtxts1xzle7.cloudfront.net/102334947/pdf-libre.pdf?1684342958=&response-content-disposition=inline%3B+filename%3DStage_1_Registered_Report_How_subtle_lin.pdf&Expires=1712337111&Signature=XXjis0dN205DuKofFU3h9g5Yze3QBLcZK1HdgyNuaXsz2Ywfhv-g894vt70iC5~ZAHVXcIu3AquO3LN34FneX5hsk5O3rudLHUU1o~Sx4lBJAoZijIlK-vfYhzIzUFfAPD26zaOjwClsEFeAOVdl141~eWZ2GKVUEh9lITwcAX~pEbkMISZK-lKBTPLOBADRxmKA~KuGQXzCWvCVhTWbnHuwqN6UItvlNiWWdxsuENjsxdsqFcxBaITRzrPpW-ae2Jgjgz03Ki6ou0u2GkCri1Zc6nEJlF7fnAZcH-iRKyTdNjvfG6D88hEt351Z1C6eqkOLeG1x7DmuHRdpppFNGQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,2024-04-06 02:29:31,2024-04-06T02:29:31Z,2024-04-05 16:13:23,,,,,,,,,,,,,,,,,,,,,Citation Key: -aj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTAB5LTW,webpage,,,,,,,,https://rr.peercommunityin.org/stream_pdf/t_recommendations.track_change.b3a1b718d8bd632d.537461676520312052656769737465726564205265706f7274205265766973696f6e20436f6d70617269736f6e2e706466.pdf,,,2024-04-06 02:29:11,2024-04-06T02:29:11Z,2024-04-05 17:45:25,,,,,,,,,,,,,,,,,,,,,Citation Key: -aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGGC6FT9,journalArticle,2024,"Hasan, Eeshan; Liu, Yanjun; Owens, Nicole; Trueblood, Jennifer",A registered report on presentation factors that influence the attraction effect,,,,10.31234/osf.io/rfcgp,https://osf.io/rfcgp,"Context effects occur when the preference between two alternatives is affected by the presence of an extra alternative. These effects are some of the most well studied phenomena in multi-alternative, multi-attribute decision making. Recent research in this area has revealed an intriguing pattern of results. On the one hand, these effects are robust and ubiquitous. That is, they have been demonstrated in many domains and different choice settings. On the other hand, they are fragile and they disappear or even reverse under different conditions. This pattern of results has spurred debate and speculation about the cognitive mechanisms that drive these choices. The attraction effect, where the preference for an option increases in the presence of a dominated decoy, has generated the most controversy. In this registered report, we systematically vary factors that are known to be associated with the attraction effect to build a solid foundation of empirical results to aid future theory development. We find a robust attraction effect across the different conditions. The strength of this effect is modulated by the display order (e.g., decoy top, target middle, competitor bottom) and mode (numeric vs. graphical) but not display layout (by-attribute vs. by-alternative).",2024-01-12,2024-01-13 08:00:01,2024-01-13T08:00:01Z,2024-01-12 14:53:32,,,,,,,,,,,,,,en-us,,,,,osf.io,,Publisher: OSF Citation Key: Hasan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6VP4KK2K,webpage,2024,,,,,,,https://eprints.whiterose.ac.uk/206094/1/Mak_FalseMemory.pdf,,2024-01-08,2024-01-13 07:59:56,2024-01-13T07:59:56Z,2024-01-12 15:13:31,,,,,,,,,,,,,,,,,,,,,Citation Key: -2024b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRGXBG27,journalArticle,2023,"Mak, Matthew H. C.; O'Hagan, Alice; Horner, Aidan J.; Gaskell, M. Gareth",A registered report testing the effect of sleep on Deese-Roediger-McDermott false memory: greater lure and veridical recall but fewer intrusions after sleep,Royal Society Open Science,,2054-5703,10.1098/rsos.220595,https://royalsocietypublishing.org/doi/10.1098/rsos.220595,"Human memory is known to be supported by sleep. However, less is known about the effect of sleep on false memory, where people incorrectly remember events that never occurred. In the laboratory, false memories are often induced via the Deese-Roediger-McDermott (DRM) paradigm where participants are presented with wordlists comprising semantically related words such as               nurse               ,               hospital               and               sick               (studied words). Subsequently, participants are likely to falsely remember that a related lure word such as               doctor               was presented. Multiple studies have examined whether these false memories are influenced by sleep, with contradictory results. A recent meta-analysis suggests that sleep may increase DRM false memory when short lists are used. We tested this in a registered report (               N               = 488) with a 2 (Interval: Immediate versus 12 h delay) × 2 (Test Time: 9:00 versus 21:00) between-participant DRM experiment, using short DRM lists (               N               = 8 words/list) and free recall as the memory test. We found an unexpected time-of-day effect such that completing free recall in the evening led to more intrusions (neither studied nor lure words). Above and beyond this time-of-day effect, the Sleep participants produced fewer intrusions than their Wake counterparts. When this was statistically controlled for, the Sleep participants falsely produced more critical lures. They also correctly recalled more studied words (regardless of intrusions). Exploratory analysis showed that these findings cannot be attributed to differences in output bias, as indexed by the number of total responses. Our overall results cannot be fully captured by existing sleep-specific theories of false memory, but help to define the role of sleep in two more general theories (Fuzzy-Trace and Activation/Monitoring theories) and suggest that sleep may benefit gist abstraction/spreading activation on one hand and memory suppression/source monitoring on the other.",2023-12,2024-01-13 07:59:56,2024-01-13T07:59:56Z,2024-01-12 15:14:45,220595,,12,10,,R. Soc. open sci.,A registered report testing the effect of sleep on Deese-Roediger-McDermott false memory,,,,,,,en,,,,,DOI.org (Crossref),,Citation Key: Mak-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2XT4XVI,webpage,,,,,,,,https://rr.peercommunityin.org/stream_pdf/t_recommendations.track_change.9aed91a85ad77b2e.5043492d52525f534e4152432d466c65786962696c6974795f526567697374657265642d5265706f72745f76332e706466.pdf,,,2024-01-13 07:59:50,2024-01-13T07:59:50Z,2024-01-12 16:04:01,,,,,,,,,,,,,,,,,,,,,Citation Key: -v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
